Date,Open,High,Low,Close,Volume,Adj Close
2017-03-15,175.710007,176.279999,174.75,175.809998,3695200,175.809998
2017-03-14,176.179993,176.820007,175.210007,175.720001,3144300,175.720001
2017-03-13,177.850006,178.059998,176.419998,176.460007,3428900,176.460007
2017-03-10,178.210007,179.490005,177.419998,177.830002,3089000,177.830002
2017-03-09,179.149994,179.25,175.880005,177.179993,5413100,177.179993
2017-03-08,180.75,180.949997,179.300003,179.449997,3520000,179.449997
2017-03-07,180.710007,181.289993,180.199997,180.380005,2930800,180.380005
2017-03-06,179.720001,180.990005,179.570007,180.470001,3180900,180.470001
2017-03-03,180.529999,181.320007,179.759995,180.050003,1822000,180.050003
2017-03-02,181.880005,181.880005,180.429993,180.529999,2913600,180.529999
2017-03-01,180.479996,182.550003,180.029999,181.949997,2960000,181.949997
2017-02-28,179.380005,180.630005,179.350006,179.820007,3272500,179.820007
2017-02-27,181.190002,181.25,179.279999,179.399994,3672000,179.399994
2017-02-24,180.210007,181.490005,179.889999,181.350006,3267800,181.350006
2017-02-23,182.00,182.50,180.919998,181.649994,2250500,181.649994
2017-02-22,180.089996,181.339996,180.089996,181.149994,3013500,181.149994
2017-02-21,180.600006,180.789993,179.119995,180.259995,4346700,180.259995
2017-02-17,181.25,181.570007,180.00,180.669998,3478100,180.669998
2017-02-16,181.449997,182.789993,180.869995,181.429993,3237400,181.429993
